pickup_date,pickup_hour,pickup_minute,pickup_lat,pickup_lon,dropoff_date,dropoff_hour,dropoff_minute,dropoff_lat,dropoff_lon,ride_distance_meters,ride_duration_seconds,passengers,wheelchair,created_from,job_name,ride_mode
2024-06-01,8,52,43.480274,-110.759321,2024-06-01,8,56,43.473329,-110.756447,997,212,4,No,Rider App,On-Demand,On-Demand
2024-06-01,8,56,43.48034,-110.765828,2024-06-01,8,57,43.479365,-110.769801,566,79,1,No,Rider App,On-Demand,On-Demand
2024-06-01,8,59,43.479816,-110.768062,2024-06-01,9,2,43.480578,-110.759431,808,190,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,0,43.47549,-110.744,2024-06-01,9,9,43.48059,-110.764267,2149,528,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,1,43.476859,-110.742726,2024-06-01,9,9,43.48049,-110.7611,1937,427,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,4,43.478246,-110.77048,2024-06-01,9,8,43.478643,-110.761653,729,202,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,4,43.483986,-110.759658,2024-06-01,9,8,43.477139,-110.770191,1607,218,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,7,43.473097,-110.747155,2024-06-01,9,12,43.4818,-110.761908,2127,307,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,13,43.477139,-110.770191,2024-06-01,9,16,43.483986,-110.759658,1607,225,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,21,43.473329,-110.756447,2024-06-01,9,25,43.471256,-110.779509,1932,216,3,No,Rider App,On-Demand,On-Demand
2024-06-01,9,21,43.473329,-110.756447,2024-06-01,9,25,43.48034,-110.765828,1526,202,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,22,43.484474,-110.76403,2024-06-01,9,25,43.479296,-110.763938,799,130,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,28,43.487487,-110.762673,2024-06-01,9,37,43.47858,-110.76325,1069,545,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,29,43.471723,-110.765,2024-06-01,9,32,43.48049,-110.7611,1217,197,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,30,43.482901,-110.761851,2024-06-01,9,33,43.479365,-110.769801,1142,179,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,35,43.475924,-110.764927,2024-06-01,9,39,43.471256,-110.779509,1541,204,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,37,43.47462,-110.753197,2024-06-01,9,48,43.48049,-110.7611,1414,675,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,40,43.477156,-110.767093,2024-06-01,9,46,43.476418,-110.743918,2429,355,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,9,40,43.478907,-110.766082,2024-06-01,9,44,43.473279,-110.757626,1491,206,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,9,44,43.475109,-110.765404,2024-06-01,9,48,43.4826,-110.759,1359,228,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,47,43.475502,-110.743835,2024-06-01,9,51,43.473329,-110.756447,1770,250,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,48,43.4727,-110.771,2024-06-01,9,50,43.48041,-110.764246,1269,161,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,52,43.487851,-110.763821,2024-06-01,10,0,43.4728,-110.752,2795,447,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,54,43.474035,-110.758671,2024-06-01,9,58,43.476815,-110.765432,886,240,2,No,Rider App,On-Demand,On-Demand
2024-06-01,9,54,43.473279,-110.757626,2024-06-01,9,58,43.478907,-110.766082,1311,202,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,10,5,43.476326,-110.746074,2024-06-01,10,15,43.479337,-110.764074,1844,589,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,9,43.476859,-110.742726,2024-06-01,10,13,43.48049,-110.7611,1937,249,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,12,43.474334,-110.765623,2024-06-01,10,17,43.48049,-110.7611,1259,263,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,13,43.476294,-110.744798,2024-06-01,10,17,43.48034,-110.765828,2192,295,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,18,43.473329,-110.756447,2024-06-01,10,23,43.471256,-110.779509,1932,295,2,No,Rider App,On-Demand,On-Demand
2024-06-01,10,21,43.477088,-110.770163,2024-06-01,10,24,43.478643,-110.761653,843,171,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,25,43.472099,-110.769166,2024-06-01,10,36,43.480274,-110.759321,1692,701,2,No,Rider App,On-Demand,On-Demand
2024-06-01,10,26,43.478181,-110.769114,2024-06-01,10,31,43.473329,-110.756447,1588,302,4,No,Rider App,On-Demand,On-Demand
2024-06-01,10,29,43.478246,-110.77048,2024-06-01,10,34,43.478643,-110.761653,729,290,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,29,43.47606,-110.74986,2024-06-01,10,33,43.47831,-110.769736,2104,246,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,32,43.473329,-110.756447,2024-06-01,10,37,43.48034,-110.765828,1526,292,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,36,43.475562,-110.769716,2024-06-01,10,40,43.47263,-110.75494,1936,236,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,41,43.4815,-110.76,2024-06-01,10,45,43.476202,-110.765347,1004,230,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,42,43.476294,-110.744798,2024-06-01,10,48,43.479947,-110.763686,1982,381,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,44,43.4747,-110.757869,2024-06-01,10,47,43.478666,-110.766686,1110,195,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,52,43.4714,-110.752,2024-06-01,10,56,43.473329,-110.756447,1699,219,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,53,43.476344,-110.746523,2024-06-01,10,56,43.478643,-110.761653,1921,217,2,No,Rider App,On-Demand,On-Demand
2024-06-01,11,2,43.48034,-110.765828,2024-06-01,11,5,43.4816,-110.761,510,178,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,2,43.480274,-110.759321,2024-06-01,11,7,43.472099,-110.769166,1690,271,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,3,43.48034,-110.765828,2024-06-01,11,8,43.481494,-110.751979,1352,290,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,9,43.478341,-110.769554,2024-06-01,11,15,43.47606,-110.74986,2150,356,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,17,43.483072,-110.764241,2024-06-01,11,24,43.472219,-110.764055,1579,424,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,19,43.478907,-110.766082,2024-06-01,11,21,43.480875,-110.762761,505,139,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,11,27,43.48049,-110.7611,2024-06-01,11,31,43.47491,-110.755522,1513,235,2,No,Rider App,On-Demand,On-Demand
2024-06-01,11,32,43.476326,-110.746074,2024-06-01,11,37,43.48049,-110.7611,1720,263,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,37,43.476859,-110.742726,2024-06-01,11,41,43.4826,-110.759,1964,243,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,39,43.480441,-110.759336,2024-06-01,11,41,43.479689,-110.749397,993,122,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,11,44,43.481689,-110.764656,2024-06-01,11,48,43.4722,-110.769,1788,265,3,No,Rider App,On-Demand,On-Demand
2024-06-01,11,51,43.48034,-110.765828,2024-06-01,11,57,43.471256,-110.779509,1751,356,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,59,43.4722,-110.769,2024-06-01,12,3,43.48049,-110.7611,1540,238,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,1,43.489304,-110.76273,2024-06-01,12,5,43.48049,-110.7611,1179,201,2,No,Rider App,On-Demand,On-Demand
2024-06-01,12,8,43.484651,-110.763368,2024-06-01,12,10,43.48034,-110.765828,767,106,2,No,Rider App,On-Demand,On-Demand
2024-06-01,12,12,43.484474,-110.76403,2024-06-01,12,18,43.47858,-110.76325,845,338,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,16,43.484668,-110.763273,2024-06-01,12,21,43.477088,-110.770163,1404,301,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,16,43.48049,-110.7611,2024-06-01,12,21,43.47606,-110.74986,1418,309,2,No,Rider App,On-Demand,On-Demand
2024-06-01,12,22,43.4722,-110.769,2024-06-01,12,26,43.478986,-110.760784,1444,268,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,27,43.479689,-110.749397,2024-06-01,12,32,43.48034,-110.765828,1407,344,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,32,43.473097,-110.747155,2024-06-01,12,36,43.47858,-110.76325,1788,263,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,40,43.472203,-110.771349,2024-06-01,12,42,43.478,-110.767116,1017,134,2,No,Rider App,On-Demand,On-Demand
2024-06-01,12,44,43.484651,-110.763368,2024-06-01,12,45,43.48034,-110.765828,767,116,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,49,43.4826,-110.759,2024-06-01,12,56,43.475109,-110.765404,1359,423,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,59,43.478246,-110.77048,2024-06-01,13,2,43.478663,-110.764193,524,156,1,No,Rider App,On-Demand,On-Demand
2024-06-01,13,6,43.473687,-110.763537,2024-06-01,13,9,43.4759,-110.769,647,195,1,No,Rider App,On-Demand,On-Demand
2024-06-01,13,6,43.476607,-110.743813,2024-06-01,13,13,43.479914,-110.763377,2148,381,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,13,14,43.473329,-110.756447,2024-06-01,13,20,43.48049,-110.7611,1352,348,1,No,Rider App,On-Demand,On-Demand
2024-06-01,13,16,43.473329,-110.756447,2024-06-01,13,23,43.479365,-110.769801,1927,420,2,No,Dashboard,On-Demand,On-Demand
2024-06-01,13,21,43.480465,-110.761006,2024-06-01,13,25,43.478907,-110.766082,550,205,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,13,28,43.482842,-110.758639,2024-06-01,13,37,43.471256,-110.779509,2563,524,2,No,Rider App,On-Demand,On-Demand
2024-06-01,13,32,43.48172,-110.764848,2024-06-01,13,37,43.47858,-110.76325,641,292,1,No,Rider App,On-Demand,On-Demand
2024-06-01,13,39,43.48049,-110.7611,2024-06-01,13,43,43.478246,-110.77048,890,208,1,No,Rider App,On-Demand,On-Demand
2024-06-01,13,43,43.48034,-110.765828,2024-06-01,13,47,43.472203,-110.771349,1263,261,2,No,Rider App,On-Demand,On-Demand
2024-06-01,13,55,43.479888,-110.763347,2024-06-01,14,5,43.476607,-110.743813,2320,589,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,13,59,43.479337,-110.764074,2024-06-01,14,5,43.476326,-110.746074,1844,368,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,5,43.4772,-110.757,2024-06-01,14,6,43.473488,-110.759248,631,118,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,5,43.48034,-110.765828,2024-06-01,14,7,43.470928,-110.770623,1502,164,3,No,Rider App,On-Demand,On-Demand
2024-06-01,14,11,43.48049,-110.7611,2024-06-01,14,16,43.487851,-110.763821,1009,281,2,No,Rider App,On-Demand,On-Demand
2024-06-01,14,13,43.48034,-110.765828,2024-06-01,14,16,43.482901,-110.761851,578,159,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,14,43.47361,-110.761592,2024-06-01,14,17,43.478181,-110.769114,1177,191,4,No,Rider App,On-Demand,On-Demand
2024-06-01,14,24,43.48034,-110.765828,2024-06-01,14,26,43.477088,-110.770163,639,132,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,28,43.4722,-110.769,2024-06-01,14,33,43.476855,-110.763931,985,272,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,30,43.48049,-110.7611,2024-06-01,14,37,43.473329,-110.756447,1350,424,2,No,Rider App,On-Demand,On-Demand
2024-06-01,14,35,43.47858,-110.76325,2024-06-01,14,41,43.475781,-110.744543,2136,382,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,42,43.48034,-110.765828,2024-06-01,14,44,43.484474,-110.76403,632,113,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,55,43.482901,-110.761851,2024-06-01,15,1,43.47519,-110.760024,1089,335,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,58,43.48034,-110.765828,2024-06-01,15,3,43.475022,-110.753502,1545,295,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,1,43.486255,-110.762728,2024-06-01,15,5,43.478713,-110.749721,1842,237,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,11,43.48034,-110.765828,2024-06-01,15,18,43.476294,-110.744798,2168,461,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,13,43.473329,-110.756447,2024-06-01,15,16,43.478985,-110.760784,970,183,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,17,43.48315,-110.762766,2024-06-01,15,20,43.479167,-110.763889,666,176,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,18,43.48049,-110.7611,2024-06-01,15,24,43.473329,-110.756447,1350,345,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,22,43.478666,-110.766686,2024-06-01,15,24,43.472334,-110.762185,1036,177,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,22,43.475929,-110.75021,2024-06-01,15,26,43.47858,-110.76325,1635,233,2,No,Rider App,On-Demand,On-Demand
2024-06-01,15,25,43.473329,-110.756447,2024-06-01,15,28,43.476277,-110.746464,1424,173,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,28,43.473329,-110.756447,2024-06-01,15,31,43.478986,-110.760784,970,152,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,31,43.474334,-110.765623,2024-06-01,15,35,43.48049,-110.7611,1259,262,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,37,43.476815,-110.765432,2024-06-01,15,41,43.48049,-110.7611,726,226,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,39,43.48315,-110.762766,2024-06-01,15,45,43.472203,-110.771349,2077,372,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,39,43.483986,-110.759658,2024-06-01,15,46,43.478363,-110.765485,1138,378,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,40,43.477362,-110.769956,2024-06-01,15,46,43.482533,-110.763559,1037,355,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,42,43.476956,-110.771952,2024-06-01,15,48,43.48049,-110.7611,1075,346,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,47,43.475022,-110.753502,2024-06-01,15,50,43.481399,-110.761544,1529,202,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,51,43.473329,-110.756447,2024-06-01,15,55,43.476277,-110.746464,1424,244,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,51,43.4714,-110.752,2024-06-01,15,59,43.486255,-110.762728,3010,462,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,51,43.48172,-110.764848,2024-06-01,15,55,43.487487,-110.762673,827,229,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,0,43.487487,-110.762673,2024-06-01,16,9,43.48172,-110.764848,827,578,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,1,43.48034,-110.765828,2024-06-01,16,3,43.484651,-110.763368,767,135,4,No,Rider App,On-Demand,On-Demand
2024-06-01,16,1,43.48034,-110.765828,2024-06-01,16,3,43.484651,-110.763368,767,136,4,No,Rider App,On-Demand,On-Demand
2024-06-01,16,4,43.47263,-110.75494,2024-06-01,16,8,43.475562,-110.769716,1936,291,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,5,43.484474,-110.76403,2024-06-01,16,7,43.4818,-110.761908,439,113,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,7,43.47173,-110.763336,2024-06-01,16,10,43.481399,-110.761544,1300,226,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,11,43.484475,-110.76403,2024-06-01,16,16,43.478207,-110.755435,1476,285,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,12,43.473329,-110.756447,2024-06-01,16,18,43.489304,-110.76273,2355,357,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,15,43.476533,-110.74217,2024-06-01,16,19,43.47858,-110.76325,2105,280,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,18,43.47858,-110.76325,2024-06-01,16,23,43.481328,-110.753264,1132,332,2,No,Rider App,On-Demand,On-Demand
2024-06-01,16,21,43.481689,-110.764656,2024-06-01,16,25,43.47361,-110.761592,1189,262,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,21,43.484651,-110.763368,2024-06-01,16,26,43.47858,-110.76325,869,274,3,No,Rider App,On-Demand,On-Demand
2024-06-01,16,27,43.473329,-110.756447,2024-06-01,16,32,43.48049,-110.7611,1352,323,3,No,Rider App,On-Demand,On-Demand
2024-06-01,16,27,43.48034,-110.765828,2024-06-01,16,33,43.473329,-110.756447,1526,353,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,28,43.4744,-110.753,2024-06-01,16,31,43.47858,-110.76325,1223,192,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,34,43.475206,-110.744518,2024-06-01,16,39,43.475134,-110.764885,2049,266,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,37,43.48034,-110.765828,2024-06-01,16,40,43.478246,-110.77048,506,205,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,37,43.48034,-110.765828,2024-06-01,16,43,43.476344,-110.746523,1988,362,2,No,Rider App,On-Demand,On-Demand
2024-06-01,16,37,43.48034,-110.765828,2024-06-01,16,47,43.475929,-110.75021,1800,566,2,No,Rider App,On-Demand,On-Demand
2024-06-01,16,46,43.471256,-110.779509,2024-06-01,16,54,43.487851,-110.763821,2942,484,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,48,43.482901,-110.761851,2024-06-01,16,52,43.47864,-110.76592,784,236,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,55,43.472203,-110.771349,2024-06-01,17,0,43.473329,-110.756447,1341,260,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,58,43.47262,-110.76111,2024-06-01,17,1,43.47858,-110.76325,847,157,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,58,43.48034,-110.765828,2024-06-01,17,0,43.484651,-110.763368,767,106,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,0,43.473329,-110.756447,2024-06-01,17,4,43.475502,-110.743835,1770,250,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,11,43.48315,-110.762766,2024-06-01,17,16,43.4722,-110.771013,1996,329,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,17,43.48049,-110.7611,2024-06-01,17,21,43.47491,-110.755522,1513,243,2,No,Rider App,On-Demand,On-Demand
2024-06-01,17,17,43.48049,-110.7611,2024-06-01,17,25,43.471723,-110.765,1215,442,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,22,43.48034,-110.765828,2024-06-01,17,25,43.483986,-110.759658,966,201,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,27,43.474538,-110.753393,2024-06-01,17,33,43.48034,-110.765828,1577,354,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,27,43.479365,-110.769801,2024-06-01,17,31,43.484651,-110.763368,1330,228,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,31,43.487851,-110.763821,2024-06-01,17,40,43.47858,-110.76325,1211,535,2,No,Rider App,On-Demand,On-Demand
2024-06-01,17,35,43.473329,-110.756447,2024-06-01,17,39,43.48049,-110.7611,1352,261,2,No,Rider App,On-Demand,On-Demand
2024-06-01,17,37,43.484651,-110.763368,2024-06-01,17,41,43.479365,-110.769801,1332,251,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,40,43.488514,-110.762784,2024-06-01,17,50,43.476859,-110.742726,2906,579,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,41,43.479079,-110.769367,2024-06-01,17,46,43.476339,-110.752366,1736,317,2,No,Driver App,On-Demand,On-Demand
2024-06-01,17,43,43.48034,-110.765828,2024-06-01,17,50,43.476859,-110.742726,2275,412,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,43,43.476773,-110.770317,2024-06-01,17,47,43.47361,-110.761592,1190,203,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,44,43.4725,-110.77,2024-06-01,17,49,43.475022,-110.753502,1581,278,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,46,43.473989,-110.766061,2024-06-01,17,50,43.47606,-110.74986,1808,243,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,48,43.473329,-110.756447,2024-06-01,17,51,43.478023,-110.759369,759,148,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,53,43.4745,-110.74903,2024-06-01,17,57,43.48041,-110.764246,1804,229,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,55,43.486255,-110.762728,2024-06-01,18,16,43.4714,-110.752,3010,1257,1,No,Rider App,On-Demand,On-Demand
2024-06-01,17,57,43.487487,-110.762673,2024-06-01,17,59,43.481399,-110.761544,721,131,1,No,Rider App,On-Demand,On-Demand
