Date,Route,Riders,Month,Year,Fiscal Year
7/1/2022,Circulator,,7,2022,2023
8/1/2022,Circulator,,8,2022,2023
9/1/2022,Circulator,,9,2022,2023
10/1/2022,Circulator,,10,2022,2023
11/1/2022,Circulator,,11,2022,2023
12/1/2022,Circulator,,12,2022,2023
1/1/2019,Star Valley,3283,1,2019,2019
2/1/2019,Star Valley,2827,2,2019,2019
3/1/2019,Star Valley,2780,3,2019,2019
4/1/2019,Star Valley,2633,4,2019,2019
5/1/2019,Star Valley,2434,5,2019,2019
6/1/2019,Star Valley,2285,6,2019,2019
7/1/2019,Star Valley,3597,7,2019,2020
8/1/2019,Star Valley,3378,8,2019,2020
9/1/2019,Star Valley,2559,9,2019,2020
10/1/2019,Star Valley,4555,10,2019,2020
11/1/2019,Star Valley,3523,11,2019,2020
12/1/2019,Star Valley,2731,12,2019,2020
1/1/2020,Star Valley,3442,1,2020,2020
2/1/2020,Star Valley,2874,2,2020,2020
3/1/2020,Star Valley,2269,3,2020,2020
4/1/2020,Star Valley,991,4,2020,2020
5/1/2020,Star Valley,932,5,2020,2020
6/1/2020,Star Valley,1426,6,2020,2020
7/1/2020,Star Valley,1580,7,2020,2021
8/1/2020,Star Valley,1592,8,2020,2021
9/1/2020,Star Valley,1675,9,2020,2021
10/1/2020,Star Valley,1642,10,2020,2021
11/1/2020,Star Valley,1337,11,2020,2021
12/1/2020,Star Valley,1930,12,2020,2021
1/1/2021,Star Valley,2024,1,2021,2021
2/1/2021,Star Valley,1930,2,2021,2021
3/1/2021,Star Valley,2242,3,2021,2021
4/1/2021,Star Valley,1990,4,2021,2021
5/1/2021,Star Valley,1699,5,2021,2021
6/1/2021,Star Valley,2100,6,2021,2021
7/1/2021,Star Valley,1905,7,2021,2022
8/1/2021,Star Valley,2109,8,2021,2022
9/1/2021,Star Valley,1763,9,2021,2022
10/1/2021,Star Valley,1926,10,2021,2022
11/1/2021,Star Valley,1685,11,2021,2022
12/1/2021,Star Valley,2508,12,2021,2022
1/1/2022,Star Valley,2370,1,2022,2022
2/1/2022,Star Valley,2048,2,2022,2022
3/1/2022,Star Valley,2360,3,2022,2022
4/1/2022,Star Valley,2262,4,2022,2022
5/1/2022,Star Valley,1995,5,2022,2022
6/1/2022,Star Valley,2308,6,2022,2022
7/1/2022,Star Valley,2150,7,2022,2023
8/1/2022,Star Valley,2377,8,2022,2023
9/1/2022,Star Valley,2038,9,2022,2023
10/1/2022,Star Valley,1677,10,2022,2023
11/1/2022,Star Valley,2181,11,2022,2023
12/1/2022,Star Valley,2580,12,2022,2023
1/1/2023,Star Valley,2295,1,2023,2023
2/1/2023,Star Valley,2206,2,2023,2023
3/1/2023,Star Valley,2710,3,2023,2023
4/1/2023,Star Valley,1963,4,2023,2023
5/1/2023,Star Valley,2203,5,2023,2023
6/1/2023,Star Valley,2150,6,2023,2023
7/1/2023,Star Valley,1756,7,2023,2024
8/1/2023,Star Valley,1926,8,2023,2024
9/1/2023,Star Valley,1984,9,2023,2024
10/1/2023,Star Valley,2122,10,2023,2024
11/1/2023,Star Valley,1764,11,2023,2024
12/1/2023,Star Valley,2687,12,2023,2024
1/1/2024,Star Valley,3294,1,2024,2024
2/1/2024,Star Valley,2981,2,2024,2024
3/1/2024,Star Valley,2687,3,2024,2024
4/1/2024,Star Valley,1822,4,2024,2024
5/1/2024,Star Valley,2048,5,2024,2024
6/1/2024,Star Valley,2160,6,2024,2024
1/1/2021,START On-Demand,,1,2021,2021
2/1/2021,START On-Demand,,2,2021,2021
3/1/2021,START On-Demand,,3,2021,2021
4/1/2021,START On-Demand,,4,2021,2021
5/1/2021,START On-Demand,,5,2021,2021
6/1/2021,START On-Demand,,6,2021,2021
7/1/2021,START On-Demand,,7,2021,2022
8/1/2021,START On-Demand,,8,2021,2022
9/1/2021,START On-Demand,,9,2021,2022
10/1/2021,START On-Demand,,10,2021,2022
11/1/2021,START On-Demand,197,11,2021,2022
12/1/2021,START On-Demand,7025,12,2021,2022
1/1/2022,START On-Demand,16057,1,2022,2022
2/1/2022,START On-Demand,15431,2,2022,2022
