pickup_date,pickup_hour,pickup_minute,pickup_lat,pickup_lon,dropoff_date,dropoff_hour,dropoff_minute,dropoff_lat,dropoff_lon,ride_distance_meters,ride_duration_seconds,passengers,wheelchair,created_from,job_name,ride_mode
2024-06-01,8,34,43.47376931369026,-110.75114643461923,2024-06-01,8,38,43.47826086956522,-110.76350691568915,1640,251,1,No,Rider App,On-Demand,On-Demand
2024-06-01,8,35,43.48275242544017,-110.76227086758216,2024-06-01,8,37,43.47826086956522,-110.76350691568915,698,115,1,No,Rider App,On-Demand,On-Demand
2024-06-01,8,43,43.47826086956522,-110.76721506001013,2024-06-01,8,47,43.4800574919152,-110.74991038651224,1552,236,2,No,Dashboard,On-Demand,On-Demand
2024-06-01,8,43,43.474667624865255,-110.74867433840525,2024-06-01,8,47,43.477362558390226,-110.76968715622411,2000,274,1,No,Rider App,On-Demand,On-Demand
2024-06-01,8,44,43.47197269134028,-110.74496619408427,2024-06-01,8,51,43.4800574919152,-110.76350691568915,2208,452,1,No,Rider App,On-Demand,On-Demand
2024-06-01,8,47,43.47556593604024,-110.7560906270472,2024-06-01,8,54,43.48275242544017,-110.76474296379615,1539,368,1,No,Rider App,On-Demand,On-Demand
2024-06-01,8,49,43.47826086956522,-110.76968715622411,2024-06-01,8,52,43.47197269134028,-110.76845110811712,906,146,1,No,Rider App,On-Demand,On-Demand
2024-06-01,8,52,43.4800574919152,-110.75979877136818,2024-06-01,8,56,43.47376931369026,-110.7560906270472,997,212,4,No,Rider App,On-Demand,On-Demand
2024-06-01,8,56,43.4800574919152,-110.76597901190314,2024-06-01,8,57,43.479159180740204,-110.76968715622411,566,79,1,No,Rider App,On-Demand,On-Demand
2024-06-01,8,59,43.4800574919152,-110.76845110811712,2024-06-01,9,2,43.48095580309019,-110.75979877136818,808,190,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,0,43.47556593604024,-110.74373014597728,2024-06-01,9,9,43.48095580309019,-110.76474296379615,2149,528,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,1,43.47646424721523,-110.74249409787028,2024-06-01,9,9,43.4800574919152,-110.76103481947517,1937,427,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,4,43.47826086956522,-110.77092320433111,2024-06-01,9,8,43.47826086956522,-110.76227086758216,729,202,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,4,43.48365073661516,-110.75979877136818,2024-06-01,9,8,43.477362558390226,-110.76968715622411,1607,218,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,7,43.47287100251527,-110.74743829029825,2024-06-01,9,12,43.48185411426518,-110.76227086758216,2127,307,1,No,Rider App,On-Demand,On-Demand
